Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Treadmill Running,2024-12-13 16:02:40,false,"Treadmill Running","3.74","259","00:31:59","147","162","3.0","151","172","8:33","6:08","--","--","0.79","10.5","8.2","283","--","--","160","0.0","148","217","4,884","--","No","00:31:59","1","--","--","--","--","00:29:03","00:31:59","--","--"
Running,2024-12-04 14:22:46,false,"San Diego Running","5.16","281","00:44:52","126","156","2.4","133","214","8:42","5:38","104","105","0.86","9.4","7.8","278","--","8:12","174","0.0","148","296","6,182","--","No","00:02:28.9","6","--","--","--","--","00:44:23","00:52:35","50","95"
Trail Running,2024-11-30 09:06:19,false,"Kenmore Trail Running","10.56","584","01:35:13","131","157","3.0","133","234","9:01","5:17","284","284","0.81","9.6","7.6","280","--","8:31","170","0.0","143","307","13,218","--","No","00:06:38.5","11","--","--","--","--","01:28:17","01:35:13","9","162"
Trail Running,2024-11-23 09:29:23,false,"King County Trail Running","11.38","736","01:55:45","139","169","3.4","122","228","10:10","5:46","550","549","0.81","9.4","7.3","280","--","8:40","162","0.0","134","303","14,630","--","No","00:02:40.3","12","--","--","--","--","01:45:49","01:55:45","121","558"
Trail Running,2024-11-21 12:06:50,false,"King County Trail Running","10.93","687","01:46:19","137","165","3.4","125","219","9:43","5:12","553","534","0.85","9.5","7.3","277","--","8:10","167","0.0","142","311","13,772","--","No","00:06:06.6","11","--","--","--","--","01:40:07","01:46:19","107","565"
Running,2024-11-20 16:00:37,false,"Seattle Running","5.07","276","00:31:14","151","172","3.4","162","171","6:09","5:01","55","52","1.01","9.4","9.4","266","--","5:58","231","0.0","222","334","5,078","--","No","00:00:57.8","6","--","--","--","--","00:31:01","00:33:22","10","34"
Running,2024-11-17 13:00:53,false,"Seattle Running","5.07","245","00:42:58","120","166","2.8","116","170","8:28","5:00","64","52","0.94","8.9","7.9","268","--","8:14","191","0.0","135","307","5,720","--","No","00:01:08.5","6","--","--","--","--","00:42:38","00:46:53","4","33"
Running,2024-11-14 12:09:53,false,"Seattle Running","5.19","244","00:46:41","107","138","2.3","131","250","9:00","4:50","55","59","0.82","8.8","7.3","358","--","8:56","176","0.0","133","344","6,182","--","No","00:01:11.1","6","--","--","--","--","00:46:38","00:47:01","9","31"
Treadmill Running,2024-11-11 16:54:16,false,"Treadmill Running","4.49","255","00:57:53","113","153","2.1","114","169","12:53","7:07","--","--","0.72","10.2","7.2","335","--","--","127","0.0","95","184","6,760","--","No","00:57:53","1","--","--","--","--","00:43:32","00:57:53","--","--"
Treadmill Running,2024-10-29 17:03:38,false,"Treadmill Running","3.34","152","00:35:13","110","136","1.1","134","167","10:32","7:25","--","--","0.74","10.3","7.6","343","--","--","140","0.0","117","185","4,946","--","No","00:35:13","1","--","--","--","--","00:31:36","00:35:13","--","--"
Treadmill Running,2024-10-26 17:37:46,false,"Treadmill Running","4.38","209","00:52:58","106","142","1.4","120","170","12:06","7:16","--","--","0.75","9.9","7.3","300","--","--","136","0.0","100","182","6,728","--","No","00:52:58","1","--","--","--","--","00:42:27","00:52:58","--","--"
Treadmill Running,2024-10-21 15:57:05,false,"Treadmill Running","2.42","322","02:01:41","92","112","0.8","49","156","50:21","12:30","--","--","0.68","8.4","5.6","--","--","--","45","0.0","21","77","8,702","--","No","02:01:41","1","--","--","--","--","00:38:36","02:03:13","--","--"
Running,2024-10-15 13:21:13,false,"Seattle Running","5.86","319","00:38:43","148","157","3.2","162","170","6:36","5:50","12","11","0.95","9.4","9.1","283","51.6% L / 48.4% R","6:34","204","0.0","200","267","6,182","--","No","00:06:12.4","6","--","30","16","39","00:38:39","00:38:43","48","59"
Running,2024-10-10 17:27:00,false,"Seattle Running","5.11","279","00:39:35","135","168","3.1","135","226","7:45","4:54","51","89","0.92","9.3","8.5","281","--","7:36","190","0.0","160","308","5,608","--","No","00:01:47.6","6","--","--","--","--","00:39:23","00:41:38","10","50"
Trail Running,2024-09-28 11:10:26,false,"Canberra Trail Running","5.93","359","00:41:14","156","175","3.4","159","176","6:57","5:32","148","164","0.91","8.8","8.1","286","50.5% L / 49.5% R","6:33","216","0.0","200","347","6,480","--","No","00:06:11.1","6","--","36","16","44","00:40:46","00:41:14","623","692"
Running,2024-09-25 08:25:28,false,"Maitland Running","5.40","296","00:32:56","150","168","3.4","162","176","6:06","4:54","42","45","1.01","9.5","9.6","271","--","6:04","224","0.0","220","321","5,328","--","No","00:02:23.0","6","--","--","--","--","00:32:51","00:33:06","9","29"
